# [国字](https://jigen.net/data/%E5%9B%BD%E5%AD%97)
1: 𠋉 U+202C9
2: 𠚤 U+206A4
3: 𠛿 U+206FF
4: 𠻻 U+20EFB
5: 𡊖 U+21296
6: 𡊯 U+212AF
7: 𡣙 U+218D9
8: 𡶚 U+21D9A
9: 𢡫 U+2286B
10: 𢣺 U+228FA
11: 𢳟 U+22CDF
12: 𢵗 U+22D57
13: 𣋠 U+232E0
14: 𣏧 U+233E7
15: 𣐩 U+23429
16: 𣑵 U+23475
17: 𣑺 U+2347A
18: 𣔋 U+2350B
19: 𣙔 U+23654
20: 𣙟 U+2365F
21: 𣙪 U+2366A
22: 𣚭 U+236AD
23: 𣛀 U+236C0
24: 𣛜 U+236DC
25: 𣛣 U+236E3
26: 𣞂 U+23782
27: 𤤛 U+2491B
28: 𤦹 U+249B9
29: 𤪦 U+24AA6
30: 𤹿 U+24E7F
31: 𥇀 U+251C0
32: 㭷 U+3B77
33: 𥐛 U+2541B
34: 𥞫 U+257AB
35: 𥟩 U+257E9
36: 𥣋 U+258CB
37: 𥸯 U+25E2F
38: 𥿽 U+25FFD
39: 𦀈 U+26008
40: 𦂼 U+260BC
41: 𦆱 U+261B1
42: 𦙤 U+26664
43: 𦠜 U+2681C
44: 㶱 U+3DB1
45: 𦬑 U+26B11
46: 𦲤 U+26CA4
47: 𦵠 U+26D60
48: 𦶩 U+26DA9
49: 𦷋 U+26DCB
50: 𦷜 U+26DDC
51: 𦹝 U+26E5D
52: 𦼠 U+26F20
53: 𧉔 U+27254
54: 𧊁 U+27281
55: 𧋥 U+272E5
56: 𧋨 U+272E8
57: 𧌂 U+27302
58: 𧼸 U+27F38
59: 𨁝 U+2805D
60: 𨑗 U+28457
61: 𨑜 U+2845C
62: 𨒸 U+284B8
63: 𨓕 U+284D5
64: 𨠽 U+2883D
65: 𨥅 U+28945
66: 𨦡 U+289A1
67: 𨦫 U+289AB
68: 𨨠 U+28A20
69: 𨭨 U+28B68
70: 𨭪 U+28B6A
71: 𨭬 U+28B6C
72: 𨰃 U+28C03
73: 𩍐 U+29350
74: 䋆 U+42C6
75: 𩵓 U+29D53
76: 𩵾 U+29D7E
77: 𩶗 U+29D97
78: 𩶘 U+29D98
79: 𩷦 U+29DE6
80: 𩷪 U+29DEA
81: 𩸕 U+29E15
82: 𩸩 U+29E29
83: 𩸫 U+29E2B
84: 𩸭 U+29E2D
85: 𩸮 U+29E2E
86: 𩸶 U+29E36
87: 𩹝 U+29E5D
88: 𩹮 U+29E6E
89: 𩺐 U+29E90
90: 𩺡 U+29EA1
91: 𩺬 U+29EAC
92: 𩺿 U+29EBF
93: 𩻒 U+29ED2
94: 𩻻 U+29EFB
95: 𩼁 U+29F01
96: 𩽆 U+29F46
97: 𩿿 U+29FFF
98: 𪅐 U+2A150
99: 𪜖 U+2A716
100: 𪜩 U+2A729
101: 𪜪 U+2A72A
102: 𪜸 U+2A738
103: 𪜽 U+2A73D
104: 𪝆 U+2A746
105: 𪝘 U+2A758
106: 𪝟 U+2A75F
107: 𪞵 U+2A7B5
108: 𪟇 U+2A7C7
109: 𪟗 U+2A7D7
110: 𪟷 U+2A7F7
111: 𪡅 U+2A845
112: 𪡠 U+2A860
113: 𪡡 U+2A861
114: 𪡨 U+2A868
115: 𪡹 U+2A879
116: 𪢂 U+2A882
117: 𪢊 U+2A88A
118: 𪣥 U+2A8E5
119: 𪣨 U+2A8E8
120: 𪥣 U+2A963
121: 𪥮 U+2A96E
122: 𪥲 U+2A972
123: 𪦊 U+2A98A
124: 𪦏 U+2A98F
125: 𪦦 U+2A9A6
126: 𪦨 U+2A9A8
127: 𪦮 U+2A9AE
128: 𪦺 U+2A9BA
129: 𪨎 U+2AA0E
130: 𪨡 U+2AA21
131: 𪨢 U+2AA22
132: 𪨬 U+2AA2C
133: 𪩩 U+2AA69
134: 𪪿 U+2AABF
135: 𪫄 U+2AAC4
136: 𪫧 U+2AAE7
137: 𪫬 U+2AAEC
138: 𪫸 U+2AAF8
139: 𪬅 U+2AB05
140: 𪭉 U+2AB49
141: 𪭷 U+2AB77
142: 𪭼 U+2AB7C
143: 𪮇 U+2AB87
144: 𪮷 U+2ABB7
145: 𪯆 U+2ABC6
146: 𪰒 U+2AC12
147: 𪰪 U+2AC2A
148: 𪱀 U+2AC40
149: 𪱤 U+2AC64
150: 𪱩 U+2AC69
151: 𪱱 U+2AC71
152: 𪱲 U+2AC72
153: 𪱳 U+2AC73
154: 𪱶 U+2AC76
155: 𪱹 U+2AC79
156: 𪱻 U+2AC7B
157: 𪲆 U+2AC86
158: 𪲇 U+2AC87
159: 𪲓 U+2AC93
160: 𪲖 U+2AC96
161: 𪲦 U+2ACA6
162: 𪲨 U+2ACA8
163: 𪲳 U+2ACB3
164: 𪲼 U+2ACBC
165: 𪳂 U+2ACC2
166: 𪳃 U+2ACC3
167: 𪳉 U+2ACC9
168: 𪳊 U+2ACCA
169: 𪳒 U+2ACD2
170: 𪳓 U+2ACD3
171: 𪳖 U+2ACD6
172: 𪳡 U+2ACE1
173: 𪳢 U+2ACE2
174: 𪳤 U+2ACE4
175: 𪳧 U+2ACE7
176: 𪳱 U+2ACF1
177: 𪳳 U+2ACF3
178: 𪳺 U+2ACFA
179: 𪴀 U+2AD00
180: 𪴆 U+2AD06
181: 𪴇 U+2AD07
182: 𪴎 U+2AD0E
183: 𪴐 U+2AD10
184: 𪴓 U+2AD13
185: 𪴕 U+2AD15
186: 𪴠 U+2AD20
187: 𪴡 U+2AD21
188: 𪷌 U+2ADCC
189: 𪸢 U+2AE22
190: 𪸫 U+2AE2B
191: 𪹥 U+2AE65
192: 𪹶 U+2AE76
193: 𪺊 U+2AE8A
194: 𪺐 U+2AE90
195: 𪺲 U+2AEB2
196: 𪻌 U+2AECC
197: 𪻓 U+2AED3
198: 𪼑 U+2AF11
199: 𪼪 U+2AF2A
200: 𪼶 U+2AF36
201: 𪼷 U+2AF37
202: 𪼸 U+2AF38
203: 𪼹 U+2AF39
204: 𪼻 U+2AF3B
205: 𪼼 U+2AF3C
206: 𪽘 U+2AF58
207: 𪽥 U+2AF65
208: 𪽺 U+2AF7A
209: 𪾗 U+2AF97
210: 𪾧 U+2AFA7
211: 𪾨 U+2AFA8
212: 𪾬 U+2AFAC
213: 𪾲 U+2AFB2
214: 𪾵 U+2AFB5
215: 𪾻 U+2AFBB
216: 𪾼 U+2AFBC
217: 𪾿 U+2AFBF
218: 𪿈 U+2AFC8
219: 𫀧 U+2B027
220: 𫀹 U+2B039
221: 𫁁 U+2B041
222: 𫁆 U+2B046
223: 䓔 U+44D4
224: 𫁈 U+2B048
225: 𫁑 U+2B051
226: 𫁖 U+2B056
227: 𫁗 U+2B057
228: 𫂅 U+2B085
229: 𫂒 U+2B092
230: 𫂣 U+2B0A3
231: 𫂲 U+2B0B2
232: 𫃄 U+2B0C4
233: 𫃲 U+2B0F2
234: 𫄊 U+2B10A
235: 𫄗 U+2B117
236: 䓪 U+44EA
237: 䓯 U+44EF
238: 𫅿 U+2B17F
239: 𫆓 U+2B193
240: 𫆛 U+2B19B
241: 𫆨 U+2B1A8
242: 𫆷 U+2B1B7
243: 𫆺 U+2B1BA
244: 𫇜 U+2B1DC
245: 𫇠 U+2B1E0
246: 𫇨 U+2B1E8
247: 𫇩 U+2B1E9
248: 𫇻 U+2B1FB
249: 𫇿 U+2B1FF
250: 𫈂 U+2B202
251: 𫈄 U+2B204
252: 𫈆 U+2B206
253: 𫈇 U+2B207
254: 𫈓 U+2B213
255: 𫈞 U+2B21E
256: 𫈤 U+2B224
257: 𫈹 U+2B239
258: 𫈽 U+2B23D
259: 𫉀 U+2B240
260: 𫉇 U+2B247
261: 𫉑 U+2B251
262: 𫉒 U+2B252
263: 𫉙 U+2B259
264: 𫉜 U+2B25C
265: 𫉠 U+2B260
266: 𫉰 U+2B270
267: 𫉻 U+2B27B
268: 𫊀 U+2B280
269: 𫊄 U+2B284
270: 𫊘 U+2B298
271: 𫊜 U+2B29C
272: 𫊦 U+2B2A6
273: 𫊧 U+2B2A7
274: 𫊰 U+2B2B0
275: 𫊳 U+2B2B3
276: 𫊺 U+2B2BA
277: 𫊽 U+2B2BD
278: 𫊾 U+2B2BE
279: 𫋂 U+2B2C2
