   1: 関連字: 𬺰 U+2CEB0,  異体字: 𬂛 U+2C09B
   2: 関連字: 丒 U+4E12,  異体字: 丑 U+4E11
   3: 関連字: 𫸨 U+2BE28,  異体字: NONE
   4: 関連字: NONE,  異体字: NONE
   5: 関連字: NONE,  異体字: NONE
   6: 関連字: NONE,  異体字: NONE
   7: 関連字: 𠚤 U+206A4,  異体字: 仝 U+4EDD
   8: 関連字: 丼 U+4E3C,  異体字: 井 U+4E95
   9: 関連字: 𱍸 U+31378,  異体字: 𠂎 U+2008E
  10: 関連字: 𬼆 U+2CF06,  異体字: 爻 U+723B
  11: 関連字: NONE,  異体字: NONE
  12: 関連字: NONE,  異体字: NONE
  13: 関連字: 炎 U+708E,  異体字: 扊 U+624A, 炏 U+708F, 焰 U+7130, 𡗩 U+215E9, 𤆌 U+2418C
  14: 関連字: NONE,  異体字: NONE
  15: 関連字: 𫡤 U+2B864,  異体字: 集 U+96C6
  16: 関連字: NONE,  異体字: NONE
  17: 関連字: NONE,  異体字: NONE
  18: 関連字: 𫡷 U+2B877,  異体字: NONE
  19: 関連字: 𬪿 U+2CABF,  異体字: NONE
  20: 関連字: NONE,  異体字: NONE
  21: 関連字: NONE,  異体字: NONE
  22: 関連字: NONE,  異体字: NONE
  23: 関連字: NONE,  異体字: NONE
  24: 関連字: 神 U+795E,  異体字: 䘥 U+4625, 䰠 U+4C20, 柛 U+67DB, 衶 U+8876, 神 U+FA19, 𤕊 U+2454A, 𥙍 U+2564D, 𥚞 U+2569E, 𥛃 U+256C3, 𥛠 U+256E0, 𥜩 U+25729, 𥞁 U+25781, 𧴢 U+27D22, 𫋵 U+2B2F5, 𱬸 U+31B38, 𱵏 U+31D4F, 𱵐 U+31D50, 𱵚 U+31D5A
  25: 関連字: 仐 U+4ED0,  異体字: 㐃 U+3403, 伞 U+4F1E, 傘 U+5098, 𠓝 U+204DD
  26: 関連字: 会 U+4F1A,  異体字: 㑹 U+3479, 㞧 U+37A7, 㣛 U+38DB, 旝 U+65DD, 會 U+6703, 𪩚 U+2AA5A
  27: 関連字: 𪜽 U+2A73D,  異体字: NONE
  28: 関連字: NONE,  異体字: NONE
  29: 関連字: NONE,  異体字: NONE
  30: 関連字: 仦 U+4EE6,  異体字: 仯 U+4EEF, 矮 U+77EE
  31: 関連字: NONE,  異体字: NONE
  32: 関連字: 㐶 U+3436,  異体字: 匕 U+5315, 化 U+5316
  33: 関連字: 𰁣 U+30063,  異体字: 𫢏 U+2B88F
  34: 関連字: 伝 U+4F1D,  異体字: 云 U+4E91, 传 U+4F20, 傳 U+50B3, 𠎉 U+20389
  35: 関連字: 𪜩 U+2A729,  異体字: 匂 U+5302
  36: 関連字: 𪜪 U+2A72A,  異体字: 匂 U+5302
  37: 関連字: 𫢋 U+2B88B,  異体字: 佛 U+4F5B
  38: 関連字: 伕 U+4F15,  異体字: 夫 U+592B
  39: 関連字: 𫢏 U+2B88F,  異体字: 低 U+4F4E, 𰁣 U+30063
  40: 関連字: 㐾 U+343E,  異体字: 忨 U+5FE8
  41: 関連字: 𰁦 U+30066,  異体字: 咎 U+548E, 攸 U+6538, 𠆸 U+201B8
  42: 関連字: 𠇖 U+201D6,  異体字: NONE
  43: 関連字: 佦 U+4F66,  異体字: 佑 U+4F51
  44: 関連字: 価 U+4FA1,  異体字: 似 U+4F3C, 侕 U+4F95, 價 U+50F9, 徆 U+5F86
  45: 関連字: 価 U+4FA1,  異体字: 似 U+4F3C, 侕 U+4F95, 價 U+50F9, 徆 U+5F86
  46: 関連字: 𪜸 U+2A738,  異体字: NONE
  47: 関連字: 𬽾 U+2CF7E,  異体字: 㑫 U+346B, 仚 U+4EDA, 企 U+4F01, 𠇈 U+201C8, 𠈮 U+2022E, 𧾺 U+27FBA, 𧿍 U+27FCD, 𨀣 U+28023
  48: 関連字: 侤 U+4FA4,  異体字: 烤 U+70E4
  49: 関連字: 俤 U+4FE4,  異体字: 㣢 U+38E2
  50: 関連字: 俥 U+4FE5,  異体字: 伡 U+4F21, 車 U+8ECA
  51: 関連字: 俣 U+4FE3,  異体字: 㑨 U+3468, 㒁 U+3481, 俁 U+4FC1, 𠋼 U+202FC
  52: 関連字: 俧 U+4FE7,  異体字: 倊 U+500A, 志 U+5FD7
  53: 関連字: 侰 U+4FB0,  異体字: 僒 U+50D2, 窘 U+7A98
  54: 関連字: NONE,  異体字: NONE
  55: 関連字: NONE,  異体字: NONE
  56: 関連字: 𪝆 U+2A746,  異体字: NONE
  57: 関連字: 倹 U+5039,  異体字: 俭 U+4FED, 儉 U+5109
  58: 関連字: 㑨 U+3468,  異体字: 俣 U+4FE3
  59: 関連字: NONE,  異体字: NONE
  60: 関連字: 𱎳 U+313B3,  異体字: NONE
  61: 関連字: 𠉵 U+20275,  異体字: NONE
  62: 関連字: 𠉯 U+2026F,  異体字: NONE
  63: 関連字: NONE,  異体字: NONE
  64: 関連字: 倻 U+503B,  異体字: 䣏 U+48CF, 鄇 U+9107, 𬾈 U+2CF88
  65: 関連字: 𠋉 U+202C9,  異体字: NONE
  66: 関連字: NONE,  異体字: NONE
  67: 関連字: 𫣁 U+2B8C1,  異体字: NONE
  68: 関連字: NONE,  異体字: NONE
  69: 関連字: 𪝘 U+2A758,  異体字: NONE
  70: 関連字: 持 U+6301,  異体字: 㩐 U+3A50, 㭙 U+3B59, 𠱾 U+20C7E, 𰩠 U+30A60
  71: 関連字: NONE,  異体字: NONE
  72: 関連字: NONE,  異体字: NONE
  73: 関連字: NONE,  異体字: NONE
  74: 関連字: 偑 U+5051,  異体字: 㐽 U+343D, 煈 U+7148, 𱎤 U+313A4
  75: 関連字: NONE,  異体字: NONE
  76: 関連字: 𠋞 U+202DE,  異体字: NONE
  77: 関連字: 𪝟 U+2A75F,  異体字: NONE
  78: 関連字: 𫣄 U+2B8C4,  異体字: 誉 U+8A89
  79: 関連字: NONE,  異体字: NONE
  80: 関連字: 働 U+50CD,  異体字: 仂 U+4EC2, 动 U+52A8, 動 U+52D5, 𫢙 U+2B899
  81: 関連字: 𫣒 U+2B8D2,  異体字: 亀 U+4E80
  82: 関連字: 𬿛 U+2CFDB,  異体字: NONE
  83: 関連字: 𠌵 U+20335,  異体字: 裊 U+88CA, 褭 U+892D, 象 U+8C61
  84: 関連字: 𫣕 U+2B8D5,  異体字: NONE
  85: 関連字: NONE,  異体字: NONE
  86: 関連字: NONE,  異体字: NONE
  87: 関連字: NONE,  異体字: NONE
  88: 関連字: 僲 U+50F2,  異体字: 㒨 U+34A8, 仙 U+4ED9, 僊 U+50CA, 𠎣 U+203A3, 𠏡 U+203E1, 𠑗 U+20457, 𬿑 U+2CFD1
  89: 関連字: 𠏹 U+203F9,  異体字: 仏 U+4ECF, 𠑵 U+20475
  90: 関連字: 𠏹 U+203F9,  異体字: 仏 U+4ECF, 𠑵 U+20475
  91: 関連字: NONE,  異体字: NONE
  92: 関連字: NONE,  異体字: NONE
  93: 関連字: 𫣵 U+2B8F5,  異体字: NONE
  94: 関連字: 𠐞 U+2041E,  異体字: 儡 U+5121, 𠱤 U+20C64
  95: 関連字: NONE,  異体字: NONE
  96: 関連字: NONE,  異体字: NONE
  97: 関連字: 𠏹 U+203F9,  異体字: 仏 U+4ECF, 𠑵 U+20475
  98: 関連字: 𠏹 U+203F9,  異体字: 仏 U+4ECF, 𠑵 U+20475
  99: 関連字: 𰁪 U+3006A,  異体字: NONE
 100: 関連字: NONE,  異体字: NONE
 101: 関連字: NONE,  異体字: NONE
 102: 関連字: NONE,  異体字: NONE
 103: 関連字: 𭀤 U+2D024,  異体字: 並 U+4E26
 104: 関連字: 𭘉 U+2D609,  異体字: NONE
 105: 関連字: NONE,  異体字: NONE
 106: 関連字: 𫤜 U+2B91C,  異体字: NONE
 107: 関連字: 𫤞 U+2B91E,  異体字: NONE
 108: 関連字: 光 U+5149,  異体字: 㘢 U+3622, 㫕 U+3AD5, 灮 U+706E, 炗 U+7097, 炚 U+709A, 炛 U+709B, 烡 U+70E1, 茪 U+832A, 𠈑 U+20211, 𤉭 U+2426D, 𤎫 U+243AB, 𤐥 U+24425, 𤑋 U+2444B, 𨤡 U+28921, 𰞆 U+30786, 𰟎 U+307CE
 109: 関連字: 𦒉 U+26489,  異体字: 熠 U+71A0
 110: 関連字: 𠓛 U+204DB,  異体字: 亼 U+4EBC, 集 U+96C6
 111: 関連字: 㒲 U+34B2,  異体字: 財 U+8CA1
 112: 関連字: 𪞉 U+2A789,  異体字: NONE
 113: 関連字: NONE,  異体字: NONE
 114: 関連字: 円 U+5186,  異体字: 㘣 U+3623, 员 U+5458, 圆 U+5706, 圎 U+570E, 圓 U+5713
 115: 関連字: NONE,  異体字: NONE
 116: 関連字: NONE,  異体字: NONE
 117: 関連字: NONE,  異体字: NONE
 118: 関連字: NONE,  異体字: NONE
 119: 関連字: NONE,  異体字: NONE
 120: 関連字: 𪞎 U+2A78E,  異体字: NONE
 121: 関連字: NONE,  異体字: NONE
 122: 関連字: NONE,  異体字: NONE
 123: 関連字: NONE,  異体字: NONE
 124: 関連字: NONE,  異体字: NONE
 125: 関連字: 違 U+9055,  異体字: 回 U+56DE, 违 U+8FDD, 韋 U+97CB, 韦 U+97E6, 𢾁 U+22F81, 𣪡 U+23AA1, 𨔻 U+2853B, 𨕸 U+28578, 𩎮 U+293AE, 𩎵 U+293B5
 126: 関連字: 㓁 U+34C1,  異体字: ⺳ U+2EB3, 网 U+7F51, 罒 U+7F52, 罓 U+7F53, 𦉰 U+26270
 127: 関連字: NONE,  異体字: NONE
 128: 関連字: NONE,  異体字: NONE
 129: 関連字: NONE,  異体字: NONE
 130: 関連字: NONE,  異体字: NONE
 131: 関連字: NONE,  異体字: NONE
 132: 関連字: 汢 U+6C62,  異体字: NONE
 133: 関連字: 汐 U+6C50,  異体字: 夕 U+5915, 𣲠 U+23CA0, 𣴁 U+23D01
 134: 関連字: 冴 U+51B4,  異体字: 冱 U+51B1, 庌 U+5E8C, 沍 U+6C8D
 135: 関連字: NONE,  異体字: NONE
 136: 関連字: 𪞚 U+2A79A,  異体字: NONE
 137: 関連字: NONE,  異体字: NONE
 138: 関連字: 𪞜 U+2A79C,  異体字: 泊 U+6CCA
 139: 関連字: NONE,  異体字: NONE
 140: 関連字: 𫝎 U+2B74E,  異体字: NONE
 141: 関連字: 凧 U+51E7,  異体字: NONE
 142: 関連字: 凪 U+51EA,  異体字: NONE
 143: 関連字: 凩 U+51E9,  異体字: NONE
 144: 関連字: NONE,  異体字: NONE
 145: 関連字: NONE,  異体字: NONE
 146: 関連字: NONE,  異体字: NONE
 147: 関連字: 𩡫 U+2986B,  異体字: 䭵 U+4B75, 鳳 U+9CF3
 148: 関連字: 𪞵 U+2A7B5,  異体字: NONE
 149: 関連字: 𫥲 U+2B972,  異体字: NONE
