# format: {code point}: {pinyins}  # {hanzi}
# e.g.:
# U+4E2D: zhōng,zhòng  #中
U+3468: yǔ  #㑨
U+34B2: cái  #㒲
U+36FA: ān  #㛺
U+37E2: qí  #㟢
U+39C5: mù,dāo  #㧅
U+3B3A: téng  #㬺
U+3B73: xiào  #㭳
U+3B77: nán  #㭷
U+3BB8: sòng  #㮸
U+3DB1: běn  #㶱
U+3F57: mǔ  #㽗
U+414B: wǎn  #䅋
U+41A0: huàn  #䆠
U+42C6: lú  #䋆
U+4302: òu  #䌂
U+44D4: xiào  #䓔
U+44EA: yì  #䓪
U+44EF: dú  #䓯
U+4512: bèi  #䔒
U+4527: lí  #䔧
U+4577: mí  #䕷
U+45CE: yān  #䗎
U+45F3: dēng,dé  #䗳
U+48BD: xiàng  #䢽
U+4920: zhǐ  #䤠
U+4932: chì  #䤲
U+498E: guǎn,kàng  #䦎
U+4B6E: fú  #䭮
U+4C33: dīng,zhēng  #䰳
U+4C69: wǎng  #䱩
U+4C88: má  #䲈
U+4E3C: jǐng,dǎn  #丼
U+4E44: wǔ  #乄
U+4E62: gài  #乢
U+4ED0: sǎn  #仐
U+4F15: fū  #伕
U+4F66: shī  #佦
U+4FA1: sì,jià  #価
U+4FA4: ta,kǎo  #侤
U+4FE3: yǔ  #俣
U+4FE4: dì  #俤
U+4FE5: chē,jū  #俥
U+4FE7: zhì  #俧
U+5051: fēng  #偑
U+50CD: dòng  #働
U+51E7: zhēng  #凧
U+51E9: mù  #凩
U+51EA: zhǐ  #凪
U+51EE: fēng  #凮
U+52CA: kè  #勊
U+5301: qián  #匁
U+5302: xiōng,yún  #匂
U+5307: cōng  #匇
U+53B6: sī,mǒu  #厶
U+53FA: chǐ  #叺
U+540B: cùn,dòu,yīngcùn  #吋
U+542C: tīng,yǐn,yí  #听
U+544E: chǐ  #呎
U+544F: shēng  #呏
U+5491: dā  #咑
U+549C: ta  #咜
U+54D8: xíng  #哘
U+54E9: lī,li,lì,lǐ,mái,yīng  #哩
U+5500: yòu  #唀
U+5523: zào  #唣
U+5562: liǎng,yīng  #啢
U+55B0: cān,sūn,qī  #喰
U+55BC: jiē  #喼
U+5607: shān,càn,shěn  #嘇
U+5678: dūn  #噸
U+567A: xīn  #噺
U+56CE: zèng  #囎
U+56FD: guó  #国
U+5726: kuài  #圦
U+5737: xià  #圷
U+5738: shān  #圸
U+5788: dài  #垈
U+5789: páo,bāo   #垉
U+57AA: bìng  #垪
U+57AC: hóng  #垬
U+57B0: kǎ  #垰
U+57B3: háng  #垳
U+57D6: huā  #埖
U+5813: àn  #堓
U+5840: píng  #塀
U+5870: hǎi  #塰
U+588B: chěn  #墋
U+58B8: zhù  #墸
U+58B9: jiàn  #墹
U+58D7: jìn  #壗
U+5940: ēn  #奀
U+598B: fū,yōu  #妋
U+599B: chī  #妛
U+5A1A: nán  #娚
U+5A47: cǎi  #婇
U+5A72: huā  #婲
U+5ACF: láng  #嫏
U+5B36: bí  #嬶
U+5C76: huì,dāo  #屶
U+5C8C: jí  #岌
U+5CBC: píng  #岼
U+5CBE: zhān  #岾
U+5CC5: biàn  #峅
U+5CE0: qiǎ,kǎ  #峠
U+5D59: kē  #嵙
U+5D61: wěng  #嵡
U+5D76: ruò  #嵶
U+5F00: kāi  #开
U+5F16: hù  #弖
U+5F41: gē  #彁
U+5F45: jiǎn  #彅
U+603A: yǒng  #怺
U+6077: qiū  #恷
U+6256: rù  #扖
U+6268: rèn  #扨
U+630A: nòng  #挊
U+6318: liě, liè  #挘
U+6327: yǔ  #挧
U+6364: wěi  #捤
U+63B5: mìng  #掵
U+643E: zhà  #搾
U+6683: fēi  #暃
U+66FB: shēng  #曻
U+6738: lì  #朸
U+6741: rù  #杁
U+6752: rèn,ér  #杒
U+6762: jié,gōng  #杢
U+6763: mián,shān  #杣
U+6764: wàn  #杤
U+678C: fén  #枌
U+67A0: huà, zú  #枠
U+67A1: shēng  #枡
U+67AC: zhān  #枬
U+67D5: mào  #柕
U+67FE: jiù  #柾
U+6801: liǔ  #栁
U+6802: méi  #栂
U+6803: lì  #栃
U+6815: zhēn  #栕
U+682C: zuì  #栬
U+685B: kǎ   #桛
U+685D: jié, chuǎn  #桝
U+68A0: lǚ  #梠
U+68BA: xià  #梺
U+68BB: fú  #梻
U+68F0: chuí,duǒ  #棰
U+6917: dìng  #椗
U+6919: chāng,shān  #椙
U+691A: mēn  #椚
U+691B: huā  #椛
U+6921: dào  #椡
U+6923: diǎn  #椣
U+6925: zhī  #椥
U+6926: quān,juàn,quán  #椦
U+6927: mìng  #椧
U+6928: fǔ  #椨
